[nodes];;;glass;paper;plastic;common
1;central;Trindade;0;0;0;0
2;true;Campo 24 de Agosto;60;60;50;100
3;false;Firmeza;0;0;0;0
4;true;Mercado do Bolhão;90;70;40;20
5;true;Rua de Santa Catarina1;0;0;0;0
6;station;Rua de Santa Catarina2;0;0;0;0
7;true;Rua de Santa Catarina3;40;80;40;80
8;true;Rua de Santa Catarina4;70;80;70;60
9;true;Rua de Santa Catarina5;0;90;70;0
10;true;Rua de Santa Catarina6;70;10;50;10
11;true;Rua de Santa Catarina7;20;40;20;80
12;station;Rua de Santa Catarina8;0;0;0;0
13;true;Rua de Santa Catarina9;70;80;90;40
14;true;Rua de Santa Catarina10;50;90;10;70
15;true;Rua de Santa Catarina11;90;30;90;60
16;station;Rua de Santa Catarina12;0;0;0;0
17;true;Rua de Santa Catarina13;70;40;70;80
18;true;Rua de Santa Catarina14;70;60;70;80
19;false;Rua de Santa Catarina15;0;0;0;0
20;true;Rua de Santa Catarina16;60;60;50;100
21;false;Rua de Santa Catarina17;0;0;0;0
22;true;Rua de Santa Catarina18;90;70;40;20
23;true;Rua de Santa Catarina19;0;0;0;0
24;station;Rua de Santa Catarina20;0;0;0;0
25;true;Rua de Santa Catarina21;40;80;40;80
26;true;Rua de Santa Catarina22;70;80;70;60
27;true;Rua de Santa Catarina23;0;90;70;0
28;true;Rua de Santa Catarina24;70;10;50;10
29;true;Rua de Santa Catarina25;20;40;20;80
30;station;Rua de Santa Catarina26;0;0;0;0
31;true;Rua de Santa Catarina27;20;40;20;80
32;station;Rua de Santa Catarina28;0;0;0;0
33;true;Rua de Santa Catarina29;70;80;90;40
34;true;Rua de Santa Catarina30;50;90;10;70
35;true;Rua de Santa Catarina31;90;30;90;60
36;station;Rua de Santa Catarina32;0;0;0;0
37;true;Rua de Santa Catarina33;70;40;70;80
38;true;Rua de Santa Catarina34;70;60;70;80
39;false;Rua de Santa Catarina35;0;0;0;0
40;true;Rua de Santa Catarina36;60;60;50;100
41;false;Rua de Santa Catarina37;0;0;0;0
42;true;Rua de Santa Catarina38;90;70;40;20
43;true;Rua de Santa Catarina39;0;0;0;0
44;station;Rua de Santa Catarina40;0;0;0;0
45;true;Rua de Santa Catarina41;40;80;40;80
46;true;Rua de Santa Catarina42;70;80;70;60
