[nodes];;;glass;paper;plastic;common
1;central;Trindade;0;0;0;0
2;true;Campo 24 de Agosto;60;60;50;100
3;false;Firmeza;0;0;0;0
4;true;Mercado do Bolhao;90;70;40;20
5;true;Rua de Santa Catarina1;0;0;0;0
6;station;Rua de Santa Catarina2;0;0;0;0
7;true;Rua de Santa Catarina3;40;80;40;80
8;true;Rua de Santa Catarina4;70;80;70;60
9;true;Rua de Santa Catarina5;0;90;70;0
10;true;Rua de Santa Catarina6;70;10;50;10
11;true;Rua de Santa Catarina7;20;40;20;80
12;station;Rua de Santa Catarina8;0;0;0;0
13;true;Rua de Santa Catarina9;70;80;90;40
14;true;Rua de Santa Catarina10;50;90;10;70
15;true;Rua de Santa Catarina11;90;30;90;60
16;station;Rua de Santa Catarina12;0;0;0;0
17;true;Rua de Santa Catarina13;70;40;70;80
18;true;Rua de Santa Catarina14;70;60;70;80
19;false;Rua de Santa Catarina15;0;0;0;0
20;true;Rua de Santa Catarina16;60;60;50;100
21;false;Rua de Santa Catarina17;0;0;0;0
22;true;Rua de Santa Catarina18;90;70;40;20
23;true;Rua de Santa Catarina19;0;0;0;0
24;station;Rua de Santa Catarina20;0;0;0;0
25;true;Rua de Santa Catarina21;40;80;40;80
26;true;Rua de Santa Catarina22;70;80;70;60
27;true;Rua de Santa Catarina23;0;90;70;0
28;true;Rua de Santa Catarina24;70;10;50;10
29;true;Rua de Santa Catarina25;20;40;20;80
30;station;Rua de Santa Catarina26;0;0;0;0
;;;;;;
[edges];;;;;;
1;2;10;;;;
1;18;12;;;;
2;3;14;;;;
2;12;9;;;;
3;4;11;;;;
3;10;13;;;;
4;5;15;;;;
5;6;14;;;;
6;7;10;;;;
6;10;12;;;;
10;9;14;;;;
9;8;9;;;;
9;11;11;;;;
8;7;13;;;;
8;14;15;;;;
7;15;18;;;;
11;12;10;;;;
11;13;12;;;;
15;16;14;;;;
13;14;9;;;;
12;13;11;;;;
12;18;13;;;;
18;17;15;;;;
16;17;9;;;;
14;15;6;;;;
19;6;11;;;;
19;22;10;;;;
20;23;5;;;;
20;15;10;;;;
20;24;6;;;;
20;21;5;;;;
20;22;5;;;;
21;22;5;;;;
21;28;7;;;;
21;27;7;;;;
23;7;5;;;;
23;6;5;;;;
24;7;13;;;;
24;16;10;;;;
24;25;5;;;;
24;28;3;;;;
25;15;10;;;;
25;26;7;;;;
26;28;5;;;;
26;27;4;;;;
26;30;4;;;;
27;30;4;;;;
28;29;7;;;;
29;30;5;;;;
