[nodes];;;glass;paper;plastic;common
1;central;Trindade;0;0;0;0
2;true;Campo 24 de Agosto;60;60;50;100
3;true;Firmeza;50;60;80;30
4;true;Mercado do Bolhao;90;70;40;20
5;true;Rua de Santa Catarina1;20;30;50;60
6;station;Rua de Santa Catarina2;0;0;0;0
7;true;Rua de Santa Catarina3;40;80;40;80
8;true;Rua de Santa Catarina4;70;80;70;60
9;true;Rua de Santa Catarina5;20;90;70;40
10;true;Rua de Santa Catarina6;70;10;50;10
11;true;Rua de Santa Catarina7;20;40;20;80
12;station;Rua de Santa Catarina8;0;0;0;0
;;;;;;
[edges];;;;;;
1;2;10;;;;
2;3;14;;;;
2;12;9;;;;
3;4;11;;;;
3;10;13;;;;
4;5;15;;;;
5;6;14;;;;
6;7;10;;;;
6;10;12;;;;
10;9;14;;;;
9;8;9;;;;
9;11;11;;;;
8;7;13;;;;
11;12;10;;;;
