[nodes];;;;;glass;paper;plastic;common
1;41.1638664;-8.6611653;central;Porto;0;0;0;0
2;40.6659201;-7.9386265;true;Viseu;60;60;50;100
3;40.681559;-9.0951156;true;Coimbra;0;0;0;0
4;39.4686882;-9.3504031;true;Lisbon;90;70;40;20
5;40.9634696;-5.6867217;true;Salamanca;0;0;0;0
6;40.4381311;-3.8196194;true;Madrid;0;0;0;0
7;41.6917474;-1.2072382;station;Saragoza;0;0;0;0
8;41.3948976;2.0787283;true;Barcelona;70;80;70;60
9;43.6008029;1.3628015;true;Toulouse;0;90;70;0
10;44.0032171;2.041768;true;Rodez;70;10;50;10
11;37.0247127;-7.986939;true;Faro;20;40;20;80
12;37.3754338;-5.9900776;true;Sevilha;0;0;0;0
13;37.1809792;-3.6087813;true;Granada;70;80;90;40
14;36.1320102;-5.370427;true;Gibraltar;50;90;10;70
15;37.9886114;-1.1465735;station;Murcia;0;0;0;0
16;38.9165294;-6.3611768;true;Merida;0;0;0;0
17;38.9922312;-1.878099;true;Albacete;70;40;70;80
18;39.4078969;-0.4315509;true;Valencia;70;60;70;80
19;38.0224179;-7.9236463;true;Beja;0;0;0;0
20;41.5473338;-8.4464406;true;Braga;60;60;50;100
21;42.2261474;-8.7604043;true;Vigo;0;0;0;0
22;42.8802351;-8.5622792;true;Santiago de Compostela;90;70;40;20
23;42.553935;-6.6273616;true;Ponferrada;0;0;0;0
24;42.6036359;-5.5949009;station;Leon;0;0;0;0
25;42.3441564;-3.7122026;true;Burgos;40;80;40;80
26;43.2633534;-2.951074;true;Bilbao;70;80;70;60
27;42.8157961;-1.6675312;true;Pamplona;0;90;70;0
28;42.5423751;1.5276325;true;Andorra;70;10;50;10
29;43.3219626;-0.3786764;station;Pau;20;40;20;80
;;;;;;;;
[edges];;;;;;;;
1;2;128;;;;;;
1;3;120;;;;;;
1;20;57;;;;;;
2;5;255;;;;;;
3;4;196;;;;;;
4;5;475;;;;;;
5;6;213;;;;;;
6;7;314;;;;;;
7;8;312;;;;;;
9;28;184;;;;;;
9;10;148;;;;;;
4;19;218;;;;;;
4;11;278;;;;;;
4;16;288;;;;;;
19;11;170;;;;;;
19;12;218;;;;;;
19;16;242;;;;;;
16;6;338;;;;;;
16;12;192;;;;;;
11;12;200;;;;;;
12;14;198;;;;;;
12;13;248;;;;;;
12;6;530;;;;;;
13;14;254;;;;;;
13;6;419;;;;;;
13;15;277;;;;;;
15;18;228;;;;;;
18;6;358;;;;;;
18;7;309;;;;;;
18;8;350;;;;;;
17;6;257;;;;;;
17;15;146;;;;;;
17;18;170;;;;;;
20;21;110;;;;;;
20;23;285;;;;;;
21;22;90;;;;;;
21;23;248;;;;;;
22;23;209;;;;;;
23;24;133;;;;;;
23;5;258;;;;;;
24;5;206;;;;;;
24;25;242;;;;;;
25;5;244;;;;;;
25;26;159;;;;;;
25;6;246;;;;;;
25;7;284;;;;;;
26;27;155;;;;;;
27;7;178;;;;;;
27;28;395;;;;;;
28;8;200;;;;;;
29;26;350;;;;;;
29;9;195;;;;;;
29;27;216;;;;;;
29;28;303;;;;;;
15;16;150;;;;;;
