[nodes];;;;;glass;paper;plastic;common;
1;41.1638664;-8.6611653;central;Trindade;0;0;0;0;
2;40.6659201;-7.9386265;true;Campo 24 de Agosto;60;60;50;100;
3;40.681559;-9.0951156;false;Firmeza;0;0;0;0;
4;39.4686882;-9.3504031;true;Mercado do Bolhão;90;70;40;20;
5;40.9634696;-5.6867217;true;Rua de Santa Catarina1;0;0;0;0;
6;40.4381311;-3.8196194;station;Rua de Santa Catarina2;0;0;0;0;
7;41.6917474;-1.2072382;true;Rua de Santa Catarina3;40;80;40;80;
8;41.3948976;2.0787283;true;Rua de Santa Catarina4;70;80;70;60;
9;43.6008029;1.3628015;true;Rua de Santa Catarina5;0;90;70;0;
10;44.0032171;2.041768;true;Rua de Santa Catarina6;70;10;50;10;
11;37.0247127;-7.986939;true;Rua de Santa Catarina7;20;40;20;80;
12;37.3754338;-5.9900776;station;Rua de Santa Catarina8;0;0;0;0;
13;37.1809792;-3.6087813;true;Rua de Santa Catarina9;70;80;90;40;
14;36.1320102;-5.370427;true;Rua de Santa Catarina10;50;90;10;70;
15;37.9886114;-1.1465735;true;Rua de Santa Catarina11;90;30;90;60;
16;38.9165294;-6.3611768;station;Rua de Santa Catarina12;0;0;0;0;
17;38.9922312;-1.878099;true;Rua de Santa Catarina13;70;40;70;80;
18;39.9922312;-1.878099;true;Rua de Santa Catarina14;70;60;70;80;
19;41.1638664;-8.6611653;false;Rua de Santa Catarina15;0;0;0;0;
20;40.6659201;-7.9386265;true;Rua de Santa Catarina16;60;60;50;100;
21;40.681559;-9.0951156;false;Rua de Santa Catarina17;0;0;0;0;
22;39.4686882;-9.3504031;true;Rua de Santa Catarina18;90;70;40;20;
23;40.9634696;-5.6867217;true;Rua de Santa Catarina19;0;0;0;0;
24;40.4381311;-3.8196194;station;Rua de Santa Catarina20;0;0;0;0;
25;41.6917474;-1.2072382;true;Rua de Santa Catarina21;40;80;40;80;
26;41.3948976;2.0787283;true;Rua de Santa Catarina22;70;80;70;60;
27;43.6008029;1.3628015;true;Rua de Santa Catarina23;0;90;70;0;
28;44.0032171;2.041768;true;Rua de Santa Catarina24;70;10;50;10;
29;37.0247127;-7.986939;true;Rua de Santa Catarina25;20;40;20;80;
30;37.3754338;-5.9900776;station;Rua de Santa Catarina26;0;0;0;0;
;;;;;;;;;
[edges];;;;;;;;;
1;2;10;;;;;;;
1;18;12;;;;;;;
2;3;14;;;;;;;
2;12;9;;;;;;;
3;4;11;;;;;;;
3;10;13;;;;;;;
4;5;15;;;;;;;
5;6;14;;;;;;;
6;7;10;;;;;;;
6;10;12;;;;;;;
10;9;14;;;;;;;
9;8;9;;;;;;;
9;11;11;;;;;;;
8;7;13;;;;;;;
8;14;15;;;;;;;
7;15;18;;;;;;;
11;12;10;;;;;;;
11;13;12;;;;;;;
15;16;14;;;;;;;
13;14;9;;;;;;;
12;13;11;;;;;;;
12;18;13;;;;;;;
18;17;15;;;;;;;
16;17;9;;;;;;;
14;15;6;;;;;;;
19;6;11;;;;;;;
19;22;10;;;;;;;
20;23;5;;;;;;;
20;15;10;;;;;;;
20;24;6;;;;;;;
20;21;5;;;;;;;
20;22;5;;;;;;;
21;22;5;;;;;;;
21;28;7;;;;;;;
21;27;7;;;;;;;
23;7;5;;;;;;;
23;6;5;;;;;;;
24;7;13;;;;;;;
24;16;10;;;;;;;
24;25;5;;;;;;;
24;28;3;;;;;;;
25;15;10;;;;;;;
25;26;7;;;;;;;
26;28;5;;;;;;;
26;27;4;;;;;;;
26;30;4;;;;;;;
27;30;4;;;;;;;
28;29;7;;;;;;;
29;30;5;;;;;;;
